french_words,english_words
word,Word
je,I
de,of
est,East
pas,not
le,THE
vous,YOU
la,there
tu,you
que,that
un,A
il,he
et,And
à,has
a,has
ne,born
les,THE
ce,This
en,in
on,we
ça,That
une,a
ai,have
pour,For
des,of the
moi,Me
qui,Who
nous,We
y,Y
mais,but
me,me
dans,In
du,of
bien,GOOD
elle,She
si,if
tout,All
plus,more
non,No
mon,My
suis,am
te,you
au,At
avec,with
va,go
oui,Yes
toi,You
fait,do
ils,they
as,AS
être,be
faire,TO DO
se,se
comme,as
était,was
sur,on
quoi,What
ici,here
sais,know
lui,him
veux,want
ma,my
là,there
rien,Nothing
dit,said
es,es
où,Or
votre,your
pourquoi,Why
sont,are
cette,this
quand,When
par,by
son,her
ton,your
peux,can
vais,go
dire,say
alors,SO
comment,how
avez,have
bon,Good
ou,Or
très,very
merci,THANKS
ont,have
même,even
jamais,Never
aussi,Also
voir,see
chose,thing
allez,Go on
tous,all
deux,two
ces,these
faut,must
sa,her
êtes,are
été,summer
ta,your
fais,do 
avoir,to have
peut,can
autre,other
m,M
encore,Again
maintenant,NOW
peu,little
mes,my
vraiment,Really
temps,time
notre,OUR
toujours,always
vie,life
sans,without
juste,just
oh,Oh
avait,had
accord,agreement
vu,seen
monde,world
quelque,some
fois,times
aller,go
trop,too much
viens,come
crois,believe
dieu,God
dois,must
homme,man
père,father
sûr,on
aux,to
leur,their
avant,Before
étais,is
besoin,need
femme,women
aime,love
personne,person
avais,had
chez,at the house of
vrai,TRUE
ans,years
mal,wrong
ses,his
parler,talk
vos,your
après,After
mort,dead
veut,wanna
eu,eu
sera,will be
bonne,Good
parce,because
mieux,better
petit,little
voilà,There
tes,your 
ca,That
dis,say
beaucoup,a lot
depuis,Since
doit,must
vois,see 
mère,mother
vas,go
monsieur,Sir
quel,what
déjà,Already
fille,girl
gens,people
donc,SO
jour,day
soir,evening
autres,others
toute,all
bonjour,Good morning
maison,House
nom,name
argent,money
nos,our
ouais,Yeah
pense,think
merde,shit
nuit,night
papa,dad
cela,that
salut,Hi
cet,this
avons,have
reste,stay
désolé,Sorry
maman,Mom
peur,fear
arrive,arrived
seul,alone
vite,quickly
prendre,take
regarde,look at
air,air
soit,either
trois,three
quelle,what
passé,pass
savoir,know
plaît,jail
choses,things
moins,less
fils,son
entre,between
bas,down
appelle,call
passe,pass
ah,ah
tête,head
demain,tomorrow
grand,big
arrête,stopped
faites,do
voulez,want
hé,Hey
attends,hold on
hein,eh
enfants,children
assez,enough
raison,reason
aurais,would have
voulais,wanted
elles,they
parle,speak
ok,OK
jours,days
dû,of
moment,moment
heure,hour
puis,Then
gars,guys
hommes,men
amour,love
tard,late
toutes,all
sommes,are
tuer,kill
eh,eh
ami,friend
connais,know
petite,small
aider,help
chance,chance
savez,know
partir,leave
sait,knows
combien,How much
voiture,car
tant,so much
pris,taken
part,go
problème,issue
prends,take
porte,door
coup,cut
serait,would be
venir,come
famille,family
travail,work
pu,could
seule,alone
sens,sense
ni,neither
allons,let's go
revoir,goodbye
idée,idea
putain,whore
passer,pass
contre,against
comprends,understand
entendu,heard
trouvé,find
trouver,find
vieux,old
vient,come
pendant,during
aurait,would have
quelques,a few
attention,attention
demande,request
chercher,seek
sous,below
voici,here is
pourrait,could
sang,blood
pouvez,can
sortir,to go out
question,question
histoire,history
amis,friends
venez,come
frère,brother
rester,stay
fini,finished
ville,city
nouveau,new
truc,thing
tiens,hold
mois,month
eux,them
mec,dude
yeux,eyes
laisse,leave alone
super,great
belle,beautiful
longtemps,a long time
police,police
eau,water
heures,hours
car,because
importe,imported
cas,case
vont,are going
chaque,each
terre,earth
place,place
tué,kill
type,kind
main,hand
pardon,pardon
ensemble,together
seulement,only
guerre,war
